Time,Velocity_J1,Velocity_J2,Velocity_J3,Velocity_J4,Velocity_J5,Velocity_J6
30.05,0.0378102799343535,0.0378102799343535,0.0378102799343535,0.0378102799343535,0.0378102799343535,0.0378102799343535
30.1,0.0377319306903847,0.0377319306903847,0.0377319306903847,0.0377319306903847,0.0377319306903847,0.0377319306903847
30.15,0.0376529186857242,0.0376529186857242,0.0376529186857242,0.0376529186857242,0.0376529186857242,0.0376529186857242
30.2,0.0375732470396305,0.0375732470396305,0.0375732470396305,0.0375732470396305,0.0375732470396305,0.0375732470396305
30.25,0.037492918897404,0.037492918897404,0.037492918897404,0.037492918897404,0.037492918897404,0.037492918897404
30.3,0.0374119374302619,0.0374119374302619,0.0374119374302619,0.0374119374302619,0.0374119374302619,0.0374119374302619
30.35,0.0373303058352142,0.0373303058352142,0.0373303058352142,0.0373303058352142,0.0373303058352142,0.0373303058352142
30.4,0.0372480273349362,0.0372480273349362,0.0372480273349362,0.0372480273349362,0.0372480273349362,0.0372480273349362
30.45,0.0371651051776424,0.0371651051776424,0.0371651051776424,0.0371651051776424,0.0371651051776424,0.0371651051776424
30.5,0.0370815426369575,0.0370815426369575,0.0370815426369575,0.0370815426369575,0.0370815426369575,0.0370815426369575
30.55,0.0369973430117875,0.0369973430117875,0.0369973430117875,0.0369973430117875,0.0369973430117875,0.0369973430117875
30.6,0.0369125096261896,0.0369125096261896,0.0369125096261896,0.0369125096261896,0.0369125096261896,0.0369125096261896
30.65,0.0368270458292404,0.0368270458292404,0.0368270458292404,0.0368270458292404,0.0368270458292404,0.0368270458292404
30.7,0.0367409549949043,0.0367409549949043,0.0367409549949043,0.0367409549949043,0.0367409549949043,0.0367409549949043
30.75,0.0366542405219002,0.0366542405219002,0.0366542405219002,0.0366542405219002,0.0366542405219002,0.0366542405219002
30.8,0.0365669058335668,0.0365669058335668,0.0365669058335668,0.0365669058335668,0.0365669058335668,0.0365669058335668
30.85,0.0364789543777281,0.0364789543777281,0.0364789543777281,0.0364789543777281,0.0364789543777281,0.0364789543777281
30.9,0.0363903896265571,0.0363903896265571,0.0363903896265571,0.0363903896265571,0.0363903896265571,0.0363903896265571
30.95,0.0363012150764384,0.0363012150764384,0.0363012150764384,0.0363012150764384,0.0363012150764384,0.0363012150764384
31,0.0362114342478307,0.0362114342478307,0.0362114342478307,0.0362114342478307,0.0362114342478307,0.0362114342478307
31.05,0.0361210506851272,0.0361210506851272,0.0361210506851272,0.0361210506851272,0.0361210506851272,0.0361210506851272
31.1,0.0360300679565163,0.0360300679565163,0.0360300679565163,0.0360300679565163,0.0360300679565163,0.0360300679565163
31.15,0.0359384896538403,0.0359384896538403,0.0359384896538403,0.0359384896538403,0.0359384896538403,0.0359384896538403
31.2,0.0358463193924538,0.0358463193924538,0.0358463193924538,0.0358463193924538,0.0358463193924538,0.0358463193924538
31.25,0.0357535608110809,0.0357535608110809,0.0357535608110809,0.0357535608110809,0.0357535608110809,0.0357535608110809
31.3,0.0356602175716716,0.0356602175716716,0.0356602175716716,0.0356602175716716,0.0356602175716716,0.0356602175716716
31.35,0.0355662933592571,0.0355662933592571,0.0355662933592571,0.0355662933592571,0.0355662933592571,0.0355662933592571
31.4,0.0354717918818045,0.0354717918818045,0.0354717918818045,0.0354717918818045,0.0354717918818045,0.0354717918818045
31.45,0.0353767168700703,0.0353767168700703,0.0353767168700703,0.0353767168700703,0.0353767168700703,0.0353767168700703
31.5,0.0352810720774532,0.0352810720774532,0.0352810720774532,0.0352810720774532,0.0352810720774532,0.0352810720774532
31.55,0.0351848612798459,0.0351848612798459,0.0351848612798459,0.0351848612798459,0.0351848612798459,0.0351848612798459
31.6,0.0350880882754858,0.0350880882754858,0.0350880882754858,0.0350880882754858,0.0350880882754858,0.0350880882754858
31.65,0.0349907568848055,0.0349907568848055,0.0349907568848055,0.0349907568848055,0.0349907568848055,0.0349907568848055
31.7,0.0348928709502817,0.0348928709502817,0.0348928709502817,0.0348928709502817,0.0348928709502817,0.0348928709502817
31.75,0.0347944343362834,0.0347944343362834,0.0347944343362834,0.0347944343362834,0.0347944343362834,0.0347944343362834
31.8,0.0346954509289196,0.0346954509289196,0.0346954509289196,0.0346954509289196,0.0346954509289196,0.0346954509289196
31.85,0.0345959246358857,0.0345959246358857,0.0345959246358857,0.0345959246358857,0.0345959246358857,0.0345959246358857
31.9,0.0344958593863094,0.0344958593863094,0.0344958593863094,0.0344958593863094,0.0344958593863094,0.0344958593863094
31.95,0.0343952591305954,0.0343952591305954,0.0343952591305954,0.0343952591305954,0.0343952591305954,0.0343952591305954
32,0.0342941278402695,0.0342941278402695,0.0342941278402695,0.0342941278402695,0.0342941278402695,0.0342941278402695
32.05,0.0341924695078219,0.0341924695078219,0.0341924695078219,0.0341924695078219,0.0341924695078219,0.0341924695078219
32.1,0.0340902881465496,0.0340902881465496,0.0340902881465496,0.0340902881465496,0.0340902881465496,0.0340902881465496
32.15,0.0339875877903975,0.0339875877903975,0.0339875877903975,0.0339875877903975,0.0339875877903975,0.0339875877903975
32.2,0.0338843724938001,0.0338843724938001,0.0338843724938001,0.0338843724938001,0.0338843724938001,0.0338843724938001
32.25,0.0337806463315205,0.0337806463315205,0.0337806463315205,0.0337806463315205,0.0337806463315205,0.0337806463315205
32.3,0.0336764133984898,0.0336764133984898,0.0336764133984898,0.0336764133984898,0.0336764133984898,0.0336764133984898
