Time,Acceleration_J1,Acceleration_J2,Acceleration_J3,Acceleration_J4,Acceleration_J5,Acceleration_J6
3.6,0.00115044258493698,0.00115044258493698,0.00115044258493698,0.00115044258493698,0.00115044258493698,0.00115044258493698
3.65,0.00116529295596259,0.00116529295596259,0.00116529295596259,0.00116529295596259,0.00116529295596259,0.00116529295596259
3.7,0.00118009732321759,0.00118009732321759,0.00118009732321759,0.00118009732321759,0.00118009732321759,0.00118009732321759
3.75,0.00119485510225093,0.00119485510225093,0.00119485510225093,0.00119485510225093,0.00119485510225093,0.00119485510225093
3.8,0.00120956571045075,0.00120956571045075,0.00120956571045075,0.00120956571045075,0.00120956571045075,0.00120956571045075
3.85,0.00122422856706743,0.00122422856706743,0.00122422856706743,0.00122422856706743,0.00122422856706743,0.00122422856706743
3.9,0.0012388430932365,0.0012388430932365,0.0012388430932365,0.0012388430932365,0.0012388430932365,0.0012388430932365
3.95,0.00125340871200148,0.00125340871200148,0.00125340871200148,0.00125340871200148,0.00125340871200148,0.00125340871200148
4,0.0012679248483367,0.0012679248483367,0.0012679248483367,0.0012679248483367,0.0012679248483367,0.0012679248483367
4.05,0.00128239092916994,0.00128239092916994,0.00128239092916994,0.00128239092916994,0.00128239092916994,0.00128239092916994
4.1,0.0012968063834051,0.0012968063834051,0.0012968063834051,0.0012968063834051,0.0012968063834051,0.0012968063834051
4.15,0.00131117064194473,0.00131117064194473,0.00131117064194473,0.00131117064194473,0.00131117064194473,0.00131117064194473
4.2,0.0013254831377125,0.0013254831377125,0.0013254831377125,0.0013254831377125,0.0013254831377125,0.0013254831377125
4.25,0.00133974330567558,0.00133974330567558,0.00133974330567558,0.00133974330567558,0.00133974330567558,0.00133974330567558
4.3,0.00135395058286696,0.00135395058286696,0.00135395058286696,0.00135395058286696,0.00135395058286696,0.00135395058286696
4.35,0.00136810440840767,0.00136810440840767,0.00136810440840767,0.00136810440840767,0.00136810440840767,0.00136810440840767
4.4,0.0013822042235289,0.0013822042235289,0.0013822042235289,0.0013822042235289,0.0013822042235289,0.0013822042235289
4.45,0.0013962494715941,0.0013962494715941,0.0013962494715941,0.0013962494715941,0.0013962494715941,0.0013962494715941
4.5,0.00141023959812093,0.00141023959812093,0.00141023959812093,0.00141023959812093,0.00141023959812093,0.00141023959812093
4.55,0.00142417405080314,0.00142417405080314,0.00142417405080314,0.00142417405080314,0.00142417405080314,0.00142417405080314
