Time,Force_J1,Force_J2,Force_J3,Force_J4,Force_J5,Force_J6
13.15,189.333211388245,0.39209708826582,1.72623230322789,0.0282121785328304,0.00125169497877939,3.93967382704029E-09
13.2,189.330847277488,0.377047246193248,1.73942355508401,0.0285013982779121,0.00129221496378204,3.9297784261217E-09
13.25,189.327974370687,0.361513612185709,1.75258469420303,0.0287923611331965,0.00133379175278395,3.91963534183226E-09
13.3,189.324584036173,0.345489301025809,1.76571359408,0.0290850676600288,0.00137644703068105,3.90924594789692E-09
13.35,189.320667599914,0.328967396686588,1.77880810881943,0.0293795183543065,0.00142020277824155,3.89861170022451E-09
13.4,189.316216346308,0.311940952983834,1.79186607324525,0.0296757136455835,0.00146508127262547,3.88773413811962E-09
13.45,189.311221518987,0.294402994240028,1.8048853030155,0.0299736538961435,0.00151110508781391,3.87661488547297E-09
13.5,189.305674321627,0.27634651595991,1.81786359474183,0.0302733394000442,0.00155829709494635,3.86525565192875E-09
13.55,189.299565918782,0.25776448551767,1.83079872611372,0.030574770382131,0.00160668046256415,3.85365823402736E-09
13.6,189.292887436724,0.238649842855717,1.84368845602765,0.0308779469970195,0.00165627865675796,3.84182451632193E-09
13.65,189.285629964305,0.218995501195065,1.85653052472107,0.0311828693280468,0.00170711544121746,3.82975647246705E-09
13.7,189.27778455382,0.19879434775727,1.86932265391139,0.0314895373861908,0.00175921487718134,3.81745616627799E-09
13.75,189.2693422219,0.178039244497937,1.88206254693986,0.031797951108958,0.0018126013232855,3.80492575275887E-09
13.8,189.260293950401,0.15672302885175,1.8947478889205,0.0321081103592378,0.00186729943530775,3.79216747909798E-09
13.85,189.250630687324,0.134838514489021,1.90737634689405,0.0324200149241241,0.00192333416580721,3.77918368562866E-09
13.9,189.240343347735,0.112378492083707,1.91994556998701,0.0327336645137039,0.0019807307636559,3.76597680675398E-09
13.95,189.229422814704,0.0893357300928783,1.93245318957576,0.0330490587598114,0.00203951477346172,3.7525493718335E-09
14,189.217859940258,0.0657029755476209,1.94489681945591,0.0333661972147482,0.00209971203487982,3.73890400603044E-09
14.05,189.205645546349,0.0414729548552753,1.95727405601667,0.0336850793499694,0.00216134868181147,3.72504343111736E-09
14.1,189.192770425827,0.0166383746130667,1.96958247842058,0.0340057045547337,0.00222445114148797,3.71097046623883E-09
14.15,189.179225343438,-0.00880807756702262,1.98181964878842,0.0343280721347194,0.00228904613343815,3.69668802862906E-09
14.2,189.165001036826,-0.0348737322221034,1.99398311238932,0.0346521813106043,0.00235516066833764,3.68219913428294E-09
14.25,189.150088217554,-0.061565937191035,2.00607039783624,0.0349780312166095,0.00242282204673802,3.66750689857863E-09
14.3,189.134477572134,-0.0888920567559654,2.01807901728677,0.0353056208990077,0.00249205785767433,3.65261453684982E-09
14.35,189.118159763072,-0.116859470772739,2.03000646664918,0.035634949314594,0.00256289597714895,3.63752536490608E-09
14.4,189.101125429926,-0.145475573790327,2.04185022579395,0.0359660153291213,0.00263536456649058,3.62224279949938E-09
14.45,189.083365190379,-0.174747774159261,2.05360775877059,0.0362988177156975,0.00270949207058629,3.60677035873497E-09
14.5,189.064869641317,-0.204683493129202,2.0652765140299,0.0366333551531461,0.00278530721598527,3.59111166242497E-09
14.55,189.045629359933,-0.235290163935654,2.07685392465169,0.0369696262243293,0.0028628390088726,3.57527043238281E-09
14.6,189.025634904827,-0.266575230875954,2.08833740857784,0.0373076294144336,0.00294211673291144,3.55925049265678E-09
14.65,189.004876817137,-0.298546148374586,2.09972436885097,0.0376473631092169,0.00302316994695237,3.54305576970093E-09
14.7,188.983345621663,-0.331210380037884,2.11101219385841,0.0379888255932187,0.00310602848260789,3.52669029248153E-09
14.75,188.961031828021,-0.36457539769827,2.12219825758177,0.0383320150479312,0.00319072244169139,3.5101581925175E-09
14.8,188.937925931798,-0.398648680448048,2.13327991985198,0.038676929549933,0.0032772821935184,3.49346370385291E-09
14.85,188.914018415723,-0.433437713662856,2.1442545266098,0.0390235670689836,0.00336573837206931,3.47661116296002E-09
14.9,188.889299750848,-0.468949988014953,2.15511941017187,0.0393719254660802,0.00345612187301191,3.45960500857104E-09
